PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33387372","Correlation between retinal nerve fibre layer thickness and white matter lesions in Alzheimer's disease","Carazo-Barrios L, Archidona-Arranz A, Claros-Ruiz A, García-Basterra I, Garzón-Maldonado FJ, Serrano-Castro V, Gutiérrez-Bedmar M, Barbancho MA, la Cruz Cosme C D, García-Campos JM, García-Casares N.","Int J Geriatr Psychiatry. 2021 Jan 2. doi: 10.1002/gps.5496. Online ahead of print.","Carazo-Barrios L","Int J Geriatr Psychiatry","2021","2021/01/02","","","10.1002/gps.5496"
"33355613","Characterization of Retinal Microvascular and Choroidal Structural Changes in Parkinson Disease","Robbins CB, Thompson AC, Bhullar PK, Koo HY, Agrawal R, Soundararajan S, Yoon SP, Polascik BW, Scott BL, Grewal DS, Fekrat S.","JAMA Ophthalmol. 2020 Dec 23:e205730. doi: 10.1001/jamaophthalmol.2020.5730. Online ahead of print.","Robbins CB","JAMA Ophthalmol","2020","2020/12/23","PMC7758829","","10.1001/jamaophthalmol.2020.5730"
"33303850","Hop flower extracts mitigate retinal ganglion cell degeneration in a glaucoma mouse model","Hasegawa T, Ikeda HO, Iwai S, Sasaoka N, Kakizuka A, Tsujikawa A.","Sci Rep. 2020 Dec 10;10(1):21653. doi: 10.1038/s41598-020-78731-2.","Hasegawa T","Sci Rep","2020","2020/12/11","PMC7730440","","10.1038/s41598-020-78731-2"
"33287900","Retinal ganglion cell degeneration correlates with hippocampal spine loss in experimental Alzheimer's disease","Bevan RJ, Hughes TR, Williams PA, Good MA, Morgan BP, Morgan JE.","Acta Neuropathol Commun. 2020 Dec 7;8(1):216. doi: 10.1186/s40478-020-01094-2.","Bevan RJ","Acta Neuropathol Commun","2020","2020/12/08","PMC7720390","","10.1186/s40478-020-01094-2"
"33284751","ROSE: A Retinal OCT-Angiography Vessel Segmentation Dataset and New Model","Ma Y, Hao H, Xie J, Fu H, Zhang J, Yang J, Wang Z, Liu J, Zheng Y, Zhao Y.","IEEE Trans Med Imaging. 2020 Dec 7;PP. doi: 10.1109/TMI.2020.3042802. Online ahead of print.","Ma Y","IEEE Trans Med Imaging","2020","2020/12/07","","","10.1109/TMI.2020.3042802"
"33276820","Retinal microvasculature dysfunction is associated with Alzheimer's disease and mild cognitive impairment","Chua J, Hu Q, Ke M, Tan B, Hong J, Yao X, Hilal S, Venketasubramanian N, Garhöfer G, Cheung CY, Wong TY, Chen CL, Schmetterer L.","Alzheimers Res Ther. 2020 Dec 4;12(1):161. doi: 10.1186/s13195-020-00724-0.","Chua J","Alzheimers Res Ther","2020","2020/12/05","PMC7718666","","10.1186/s13195-020-00724-0"
"33271462","Correlations between retinal nerve fiber layer thickness and cognitive progression in Parkinson's disease: A longitudinal study","Zhang JR, Cao YL, Li K, Wang F, Wang YL, Wu JJ, Pei SF, Chen J, Mao CJ, Liu CF.","Parkinsonism Relat Disord. 2020 Nov 28;82:92-97. doi: 10.1016/j.parkreldis.2020.11.025. Online ahead of print.","Zhang JR","Parkinsonism Relat Disord","2020","2020/12/03","","","10.1016/j.parkreldis.2020.11.025"
"33271374","OCT parameters of the optic nerve head and the retina as surrogate markers of brain volume in a normal population, a pilot study","Mejia-Vergara AJ, Karanjia R, Sadun AA.","J Neurol Sci. 2020 Nov 2;420:117213. doi: 10.1016/j.jns.2020.117213. Online ahead of print.","Mejia-Vergara AJ","J Neurol Sci","2020","2020/12/03","","","10.1016/j.jns.2020.117213"
"33252075","Retinal Optical Coherence Tomography Metrics are Unchanged in Verubecestat Alzheimer's Disease Clinical Trial but Correlate with Baseline Regional Brain Atrophy","Sergott RC, Raji A, Kost J, Sur C, Jackson S, Locco A, Patel A, Furtek C, Mattson B, Egan MF.","J Alzheimers Dis. 2020 Nov 21. doi: 10.3233/JAD-200735. Online ahead of print.","Sergott RC","J Alzheimers Dis","2020","2020/11/30","","","10.3233/JAD-200735"
"33243829","Convolutional neural network to identify symptomatic Alzheimer's disease using multimodal retinal imaging","Wisely CE, Wang D, Henao R, Grewal DS, Thompson AC, Robbins CB, Yoon SP, Soundararajan S, Polascik BW, Burke JR, Liu A, Carin L, Fekrat S.","Br J Ophthalmol. 2020 Nov 26:bjophthalmol-2020-317659. doi: 10.1136/bjophthalmol-2020-317659. Online ahead of print.","Wisely CE","Br J Ophthalmol","2020","2020/11/27","","","10.1136/bjophthalmol-2020-317659"
