PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"26977794","Results of motor cortex stimulation in the treatment of chronic pain syndromes","Isagulyan ED, Tomsky AA, Dekopov AV, Salova EM, Troshina EM, Dorokhov EV, Shabalov VA.","Zh Vopr Neirokhir Im N N Burdenko. 2015;79(6):46-60. doi: 10.17116/neiro201579646-60.","Isagulyan ED","Zh Vopr Neirokhir Im N N Burdenko","2015","2016/03/16","","","10.17116/neiro201579646-60"
"33217591","Systematic Review: Neuromodulation for Medically Refractory Neuropathic Pain: spinal cord stimulation, deep brain stimulation, motor cortex stimulation and posterior insula stimulation","Galafassi GZ, Simm Pires de Aguiar PH, Simm RF, Franceschini PR, Filho MP, Pagura JR, Pires de Aguiar PH.","World Neurosurg. 2020 Nov 17:S1878-8750(20)32423-2. doi: 10.1016/j.wneu.2020.11.048. Online ahead of print.","Galafassi GZ","World Neurosurg","2020","2020/11/20","","","10.1016/j.wneu.2020.11.048"
"32750518","Sustainable Effects of 8-Year Intermittent Spinal Cord Stimulation in a Patient with Thalamic Post-Stroke Pain","Xu W, Zhang C, Sun B, Li D.","World Neurosurg. 2020 Nov;143:223-227. doi: 10.1016/j.wneu.2020.07.195. Epub 2020 Aug 1.","Xu W","World Neurosurg","2020","2020/08/05","","","10.1016/j.wneu.2020.07.195"
"26668500","Fluid management in living donor hepatectomy: Recent issues and perspectives","Choi SS, Kim SH, Kim YK.","World J Gastroenterol. 2015 Dec 7;21(45):12757-66. doi: 10.3748/wjg.v21.i45.12757.","Choi SS","World J Gastroenterol","2015","2015/12/16","PMC4671031","","10.3748/wjg.v21.i45.12757"
"25225586","Risk assessment of ischemic stroke associated pneumonia","Li L, Zhang LH, Xu WP, Hu JM.","World J Emerg Med. 2014;5(3):209-13. doi: 10.5847/wjem.j.issn.1920-8642.2014.03.009.","Li L","World J Emerg Med","2014","2014/09/17","PMC4163809","","10.5847/wjem.j.issn.1920-8642.2014.03.009"
"31982018","Features of estimation of muscle tone and functional state of spinal motor neurons in patients with post-stroke spasticity on a background of a pharmacological correction","Payenok AV, Morozova OG, Payenok OS, Mitelman IM, Bilianskyi OY.","Wiad Lek. 2019 Oct 31;72(10):1939-1941.","Payenok AV","Wiad Lek","2019","2020/01/27","","",""
"28783886","Cerebrospinal vascular diseases misdiagnosed as decompression illness: the importance of considering other neurological diagnoses","Kohshi K, Morimatsu Y, Tamaki H, Murata Y, Kohshi K, Ishitake T, Denoble PJ.","Undersea Hyperb Med. 2017 Jul-Aug;44(4):309-313. doi: 10.22462/7.8.2017.2.","Kohshi K","Undersea Hyperb Med","2017","2017/08/08","","","10.22462/7.8.2017.2"
"23413981","A phase II, sham-controlled, double-blinded study testing the safety and efficacy of the coronary sinus reducer in patients with refractory angina: study protocol for a randomized controlled trial","Jolicœur EM, Banai S, Henry TD, Schwartz M, Doucet S, White CJ, Edelman E, Verheye S.","Trials. 2013 Feb 15;14:46. doi: 10.1186/1745-6215-14-46.","Jolicœur EM","Trials","2013","2013/02/19","PMC3599995","","10.1186/1745-6215-14-46"
"18947418","Study design and methods of the BoTULS trial: a randomised controlled trial to evaluate the clinical effect and cost effectiveness of treating upper limb spasticity due to stroke with botulinum toxin type A","Rodgers H, Shaw L, Price C, van Wijck F, Barnes M, Graham L, Ford G, Shackley P, Steen N; BoTULS Investigators.","Trials. 2008 Oct 23;9:59. doi: 10.1186/1745-6215-9-59.","Rodgers H","Trials","2008","2008/10/25","PMC2611962","","10.1186/1745-6215-9-59"
"16099720","Chemokines, chemokine receptors and pain","Abbadie C.","Trends Immunol. 2005 Oct;26(10):529-34. doi: 10.1016/j.it.2005.08.001.","Abbadie C","Trends Immunol","2005","2005/08/16","","","10.1016/j.it.2005.08.001"
